Island,Sp_Common_Name,Date_Caught,Lon,Lat
Hawaii,Green jack,10/8/2000,204.8,20.3
Hawaii,Green jack,10/8/2000,205.1,19.8
Hawaii,Green jack,10/8/2000,205,18.8
Hawaii,Green jack,10/8/2000,205.1,19.4
Hawaii,Green jack,10/8/2000,205.2,18.7
Hawaii,Green jack,10/8/2000,205.2,18.9
Hawaii,Green jack,10/8/2000,205.1,18.9
Hawaii,Green jack,10/8/2000,204.7,20.2
Hawaii,Green jack,10/8/2000,204.7,20.3
Hawaii,Green jack,10/8/2000,205.3,20
Hawaii,Green jack,10/8/2000,205.3,19.8
Hawaii,Green jack,10/8/2000,205.1,20.1
Hawaii,Green jack,10/8/2000,205,20
Hawaii,Green jack,10/8/2000,204.8,18.7
Hawaii,Green jack,10/8/2000,205.1,20
Hawaii,Green jack,10/8/2000,204.7,19.2
Hawaii,Green jack,10/8/2000,205,20.5
Hawaii,Green jack,10/8/2000,205,18.7
Hawaii,Green jack,10/8/2000,205,20.2
Hawaii,Green jack,10/8/2000,205.4,19
Hawaii,Green jack,10/8/2000,205.1,18.7
Hawaii,Green jack,10/8/2000,205.1,20.2
Hawaii,Green jack,10/8/2000,205.3,19
Hawaii,Green jack,10/8/2000,205.3,18.9
Hawaii,Green jack,10/8/2000,204.9,18.9
Hawaii,Green jack,10/8/2000,205.2,20
Hawaii,Green jack,10/8/2000,204.8,18.9
Hawaii,Green jack,10/8/2000,205.4,18.8
Hawaii,Green jack,10/8/2000,205,19.9
Hawaii,Green jack,10/8/2000,204.8,20
Hawaii,Green jack,10/8/2000,205.1,19.3
Hawaii,Green jack,10/8/2000,204.7,18.9
Hawaii,Green jack,10/8/2000,204.9,20
Hawaii,Green jack,10/8/2000,204.9,20.4
Hawaii,Green jack,10/8/2000,205,19.1
Hawaii,Green jack,10/8/2000,204.8,19.3
Hawaii,Green jack,10/8/2000,205.4,20.3
Hawaii,Green jack,10/8/2000,205.2,19.4
Hawaii,Green jack,10/8/2000,204.7,18.7
Hawaii,Green jack,10/8/2000,204.9,20.3
Hawaii,Green jack,10/8/2000,205.2,19.9
Hawaii,Green jack,10/8/2000,205,19
Hawaii,Green jack,10/8/2000,204.9,19
Hawaii,Green jack,10/8/2000,205.2,20.5
Hawaii,Green jack,10/8/2000,204.9,20.2
Hawaii,Green jack,10/8/2000,205,18.9
Hawaii,Green jack,10/8/2000,205.2,19.8
Hawaii,Green jack,10/8/2000,204.9,19.1
Hawaii,Green jack,10/8/2000,204.9,19.9
Hawaii,Green jack,10/8/2000,204.7,20.1
Hawaii,Green jack,10/8/2000,204.8,20.4
Hawaii,Green jack,10/8/2000,204.8,20.1
Hawaii,Green jack,10/8/2000,205,19.4
Hawaii,Green jack,10/8/2000,205.3,20.4
Hawaii,Green jack,10/8/2000,205.3,19.6
Hawaii,Green jack,10/8/2000,205.2,19.6
Hawaii,Green jack,10/8/2000,205.1,19.7
Hawaii,Green jack,10/8/2000,205.2,19.5
Hawaii,Green jack,10/8/2000,205.4,19.9
Hawaii,Green jack,10/8/2000,205.3,19.7
Hawaii,Green jack,10/8/2000,205,20.4
Hawaii,Green jack,10/8/2000,205.1,20.4
Hawaii,Green jack,10/8/2000,205.4,20.5
Hawaii,Green jack,10/8/2000,205.4,19.2
Hawaii,Green jack,10/8/2000,205.3,19.2
Hawaii,Green jack,10/8/2000,205.4,19.7
Hawaii,Green jack,10/8/2000,204.7,19
Hawaii,Green jack,10/8/2000,205,19.7
Hawaii,Green jack,10/8/2000,205.3,20.5
Hawaii,Green jack,10/8/2000,204.7,20.5
Hawaii,Green jack,10/8/2000,204.7,19.3
Hawaii,Green jack,10/8/2000,205.4,19.1
Hawaii,Green jack,10/8/2000,204.7,20
Hawaii,Green jack,10/8/2000,205.2,19.7
Hawaii,Green jack,10/8/2000,204.8,18.8
Hawaii,Green jack,10/8/2000,205.2,20.4
Hawaii,Green jack,10/8/2000,205.3,19.9
Hawaii,Green jack,10/8/2000,205.1,20.5
Hawaii,Green jack,10/8/2000,204.9,19.8
Hawaii,Green jack,10/8/2000,205.1,19.6
Hawaii,Green jack,10/8/2000,205.4,19.6
Hawaii,Green jack,10/8/2000,205,19.6
Hawaii,Green jack,10/8/2000,204.9,19.7
Hawaii,Green jack,10/8/2000,205.4,20.4
Hawaii,Kagami ulua,05/19/1996,205.2,20.1
Hawaii,Kagami ulua,05/19/1996,204.7,18.8
Hawaii,Kagami ulua,05/19/1996,205.2,19.2
Hawaii,Kagami ulua,05/19/1996,205,19.3
Hawaii,Kagami ulua,05/19/1996,204.9,20.1
Hawaii,Kagami ulua,05/19/1996,205.3,18.7
Hawaii,Kagami ulua,05/19/1996,205.3,18.8
Hawaii,Kagami ulua,05/19/1996,205.4,19.4
Hawaii,Kagami ulua,05/19/1996,204.8,20.5
Hawaii,Kagami ulua,05/19/1996,205.4,20.2
Hawaii,Kagami ulua,05/19/1996,204.9,20.5
Hawaii,Kagami ulua,05/19/1996,204.9,19.3
Hawaii,Kagami ulua,05/19/1996,205.2,19
Hawaii,Kagami ulua,05/19/1996,205,20.1
Hawaii,Kagami ulua,05/19/1996,204.9,18.8
Hawaii,Kagami ulua,05/19/1996,205.4,19.5
Hawaii,Kagami ulua,05/19/1996,205.4,19.8
Hawaii,Kagami ulua,05/19/1996,205.1,19.9
Hawaii,Kagami ulua,05/19/1996,205.4,19.3
Hawaii,Kagami ulua,05/19/1996,205.1,19.1
Hawaii,Kagami ulua,05/19/1996,205.4,20.1
Hawaii,Kagami ulua,05/19/1996,205,19.2
Hawaii,Kagami ulua,05/19/1996,205.1,20.3
Hawaii,Kagami ulua,05/19/1996,205.2,20.2
Hawaii,Kagami ulua,05/19/1996,204.7,19.1
Hawaii,Kagami ulua,05/19/1996,205.1,19.2
Hawaii,Kagami ulua,05/19/1996,204.8,20.2
Hawaii,Kagami ulua,05/19/1996,205.3,19.3
Hawaii,Kagami ulua,05/19/1996,205.2,19.3
Hawaii,Kagami ulua,05/19/1996,205.2,19.1
Hawaii,Kagami ulua,05/19/1996,204.8,19.2
Hawaii,Kagami ulua,05/19/1996,205.2,20.3
Hawaii,Kagami ulua,05/19/1996,205.4,20
Hawaii,Kagami ulua,05/19/1996,205.4,18.7
Hawaii,Kagami ulua,05/19/1996,205.4,18.9
Hawaii,Kagami ulua,05/19/1996,204.9,19.2
Hawaii,Kagami ulua,05/19/1996,205.3,20.1
Hawaii,Kagami ulua,05/19/1996,205.3,19.4
Hawaii,Kagami ulua,05/19/1996,205.2,18.8
Hawaii,Kagami ulua,05/19/1996,205.3,20.2
Hawaii,Kagami ulua,05/19/1996,204.7,20.4
Hawaii,Kagami ulua,05/19/1996,205.3,19.1
Hawaii,Kagami ulua,05/19/1996,204.9,18.7
Hawaii,Kagami ulua,05/19/1996,205.3,19.5
Hawaii,Kagami ulua,05/19/1996,205,19.8
Hawaii,Kagami ulua,05/19/1996,205,20.3
Hawaii,Kagami ulua,05/19/1996,205.1,18.8
Hawaii,Kagami ulua,05/19/1996,205.3,20.3
Hawaii,Kagami ulua,05/19/1996,204.8,19.1
Hawaii,Kagami ulua,05/19/1996,205.1,19
Hawaii,Kagami ulua,05/19/1996,204.8,19
Hawaii,Kagami ulua,05/19/1996,204.8,20.3
Hawaii,Kagami ulua,05/19/1996,205.1,19.8
Hawaii,Kagami ulua,05/19/1996,205,18.8
Hawaii,Kagami ulua,05/19/1996,205.1,19.4
Hawaii,Kagami ulua,05/19/1996,205.2,18.7
Hawaii,Kagami ulua,05/19/1996,205.2,18.9
Hawaii,Kagami ulua,05/19/1996,205.1,18.9
Hawaii,Kagami ulua,05/19/1996,204.7,20.2
Hawaii,Kagami ulua,05/19/1996,204.7,20.3
Hawaii,Kagami ulua,05/19/1996,205.3,20
Hawaii,Kagami ulua,05/19/1996,205.3,19.8
Hawaii,Kagami ulua,05/19/1996,205.1,20.1
Hawaii,Kagami ulua,05/19/1996,205,20
Hawaii,Kagami ulua,05/19/1996,204.8,18.7
Hawaii,Kagami ulua,05/19/1996,205.1,20
Hawaii,Kagami ulua,05/19/1996,204.7,19.2
Hawaii,Kagami ulua,05/19/1996,205,20.5
Hawaii,Kagami ulua,05/19/1996,205,18.7
Hawaii,Kagami ulua,05/19/1996,205,20.2
Hawaii,Kagami ulua,05/19/1996,205.4,19
Hawaii,Kagami ulua,05/19/1996,205.1,18.7
Hawaii,Kagami ulua,05/19/1996,205.1,20.2
Hawaii,Kagami ulua,05/19/1996,205.3,19
Hawaii,Kagami ulua,05/19/1996,205.3,18.9
Hawaii,Kagami ulua,05/19/1996,204.9,18.9
Hawaii,Kagami ulua,05/19/1996,205.2,20
Hawaii,Kagami ulua,05/19/1996,204.8,18.9
Hawaii,Kagami ulua,05/19/1996,205.4,18.8
Hawaii,Kagami ulua,05/19/1996,205,19.9
Hawaii,Kagami ulua,05/19/1996,204.8,20
Hawaii,Kagami ulua,05/19/1996,205.1,19.3
Hawaii,Kagami ulua,05/19/1996,204.7,18.9
Hawaii,Kagami ulua,05/19/1996,204.9,20
Hawaii,Kagami ulua,05/19/1996,204.9,20.4
Hawaii,Kagami ulua,05/19/1996,205,19.1
Hawaii,Kagami ulua,05/19/1996,204.8,19.3
Hawaii,Kagami ulua,05/19/1996,205.4,20.3
Hawaii,Kagami ulua,05/19/1996,205.2,19.4
Hawaii,Kagami ulua,05/19/1996,204.7,18.7
Hawaii,Kagami ulua,05/19/1996,204.9,20.3
Hawaii,Kagami ulua,05/19/1996,205.2,19.9
Hawaii,Kagami ulua,05/19/1996,205,19
Hawaii,Kagami ulua,05/19/1996,204.9,19
Hawaii,Kagami ulua,05/19/1996,205.2,20.5
Hawaii,Kagami ulua,05/19/1996,204.9,20.2
Hawaii,Kagami ulua,05/19/1996,205,18.9
Hawaii,Kagami ulua,05/19/1996,205.2,19.8
Hawaii,Kagami ulua,05/19/1996,204.9,19.1
Hawaii,Kagami ulua,05/19/1996,204.9,19.9
Hawaii,Kagami ulua,05/19/1996,204.7,20.1
Hawaii,Kagami ulua,05/19/1996,204.8,20.4
Hawaii,Kagami ulua,05/19/1996,204.8,20.1
Hawaii,Kagami ulua,05/19/1996,205,19.4
Hawaii,Kagami ulua,05/19/1996,205.3,20.4
Hawaii,Kagami ulua,05/19/1996,205.3,19.6
Hawaii,Kagami ulua,05/19/1996,205.2,19.6
Hawaii,Kagami ulua,05/19/1996,205.1,19.7
Hawaii,Kagami ulua,05/19/1996,205.2,19.5
Hawaii,Kagami ulua,05/19/1996,205.4,19.9
Hawaii,Kagami ulua,05/19/1996,205.3,19.7
Hawaii,Kagami ulua,05/19/1996,205,20.4
Hawaii,Kagami ulua,05/19/1996,205.1,20.4
Hawaii,Kagami ulua,05/19/1996,205.4,20.5
Hawaii,Kagami ulua,05/19/1996,205.4,19.2
Hawaii,Kagami ulua,05/19/1996,205.3,19.2
Hawaii,Kagami ulua,05/19/1996,205.4,19.7
Hawaii,Kagami ulua,05/19/1996,204.7,19
Hawaii,Kagami ulua,05/19/1996,205,19.7
Hawaii,Kagami ulua,05/19/1996,205.3,20.5
Hawaii,Kagami ulua,05/19/1996,204.7,20.5
Hawaii,Kagami ulua,05/19/1996,204.7,19.3
Hawaii,Kagami ulua,05/19/1996,205.4,19.1
Hawaii,Kagami ulua,05/19/1996,204.7,20
Hawaii,Kagami ulua,05/19/1996,205.2,19.7
Hawaii,Kagami ulua,05/19/1996,204.8,18.8
Hawaii,Kagami ulua,05/19/1996,205.2,20.4
Hawaii,Kagami ulua,05/19/1996,205.3,19.9
Hawaii,Kagami ulua,05/19/1996,205.1,20.5
Hawaii,Kagami ulua,05/19/1996,204.9,19.8
Hawaii,Kagami ulua,05/19/1996,205.1,19.6
Hawaii,Kagami ulua,05/19/1996,205.4,19.6
Hawaii,Kagami ulua,05/19/1996,205,19.6
Hawaii,Kagami ulua,05/19/1996,204.9,19.7
Hawaii,Kagami ulua,05/19/1996,205.4,20.4
Hawaii,Moana Ukali,06/16/1990,205.2,20.1
Hawaii,Moana Ukali,06/16/1990,204.7,18.8
Hawaii,Moana Ukali,06/16/1990,205.2,19.2
Hawaii,Moana Ukali,06/16/1990,205,19.3
Hawaii,Moana Ukali,06/16/1990,204.9,20.1
Hawaii,Moana Ukali,06/16/1990,205.3,18.7
Hawaii,Moana Ukali,06/16/1990,205.3,18.8
Hawaii,Moana Ukali,06/16/1990,205.4,19.4
Hawaii,Moana Ukali,06/16/1990,204.8,20.5
Hawaii,Moana Ukali,06/16/1990,205.4,20.2
Hawaii,Moana Ukali,06/16/1990,204.9,20.5
Hawaii,Moana Ukali,06/16/1990,204.9,19.3
Hawaii,Moana Ukali,06/16/1990,205.2,19
Hawaii,Moana Ukali,06/16/1990,205,20.1
Hawaii,Moana Ukali,06/16/1990,204.9,18.8
Hawaii,Moana Ukali,06/16/1990,205.4,19.5
Hawaii,Moana Ukali,06/16/1990,205.4,19.8
Hawaii,Moana Ukali,06/16/1990,205.1,19.9
Hawaii,Moana Ukali,06/16/1990,205.4,19.3
Hawaii,Moana Ukali,06/16/1990,205.1,19.1
Hawaii,Moana Ukali,06/16/1990,205.4,20.1
Hawaii,Moana Ukali,06/16/1990,205,19.2
Hawaii,Moana Ukali,06/16/1990,205.1,20.3
Hawaii,Moana Ukali,06/16/1990,205.2,20.2
Hawaii,Moana Ukali,06/16/1990,204.7,19.1
Hawaii,Moana Ukali,06/16/1990,205.1,19.2
Hawaii,Moana Ukali,06/16/1990,204.8,20.2
Hawaii,Moana Ukali,06/16/1990,205.3,19.3
Hawaii,Moana Ukali,06/16/1990,205.2,19.3
Hawaii,Moana Ukali,06/16/1990,205.2,19.1
Hawaii,Moana Ukali,06/16/1990,204.8,19.2
Hawaii,Moana Ukali,06/16/1990,205.2,20.3
Hawaii,Moana Ukali,06/16/1990,205.4,20
Hawaii,Moana Ukali,06/16/1990,205.4,18.7
Hawaii,Moana Ukali,06/16/1990,205.4,18.9
Hawaii,Moana Ukali,06/16/1990,204.9,19.2
Hawaii,Moana Ukali,06/16/1990,205.3,20.1
Hawaii,Moana Ukali,06/16/1990,205.3,19.4
Hawaii,Moana Ukali,06/16/1990,205.2,18.8
Hawaii,Moana Ukali,06/16/1990,205.3,20.2
Hawaii,Moana Ukali,06/16/1990,204.7,20.4
Hawaii,Moana Ukali,06/16/1990,205.3,19.1
Hawaii,Moana Ukali,06/16/1990,204.9,18.7
Hawaii,Moana Ukali,06/16/1990,205.3,19.5
Hawaii,Moana Ukali,06/16/1990,205,19.8
Hawaii,Moana Ukali,06/16/1990,205,20.3
Hawaii,Moana Ukali,06/16/1990,205.1,18.8
Hawaii,Moana Ukali,06/16/1990,205.3,20.3
Hawaii,Moana Ukali,06/16/1990,204.8,19.1
Hawaii,Moana Ukali,06/16/1990,205.1,19
Hawaii,Moana Ukali,06/16/1990,204.8,19
Hawaii,Moana Ukali,06/16/1990,204.8,20.3
Hawaii,Moana Ukali,06/16/1990,205.1,19.8
Hawaii,Moana Ukali,06/16/1990,205,18.8
Hawaii,Moana Ukali,06/16/1990,205.1,19.4
Hawaii,Moana Ukali,06/16/1990,205.2,18.7
Hawaii,Moana Ukali,06/16/1990,205.2,18.9
Hawaii,Moana Ukali,06/16/1990,205.1,18.9
Hawaii,Moana Ukali,06/16/1990,204.7,20.2
Hawaii,Moana Ukali,06/16/1990,204.7,20.3
Hawaii,Moana Ukali,06/16/1990,205.3,20
Hawaii,Moana Ukali,06/16/1990,205.3,19.8
Hawaii,Moana Ukali,06/16/1990,205.1,20.1
Hawaii,Moana Ukali,06/16/1990,205,20
Hawaii,Moana Ukali,06/16/1990,204.8,18.7
Hawaii,Moana Ukali,06/16/1990,205.1,20
Hawaii,Moana Ukali,06/16/1990,204.7,19.2
Hawaii,Moana Ukali,06/16/1990,205,20.5
Hawaii,Moana Ukali,06/16/1990,205,18.7
Hawaii,Moana Ukali,06/16/1990,205,20.2
Hawaii,Moana Ukali,06/16/1990,205.4,19
Hawaii,Moana Ukali,06/16/1990,205.1,18.7
Hawaii,Moana Ukali,06/16/1990,205.1,20.2
Hawaii,Moana Ukali,06/16/1990,205.3,19
Hawaii,Moana Ukali,06/16/1990,205.3,18.9
Hawaii,Moana Ukali,06/16/1990,204.9,18.9
Hawaii,Moana Ukali,06/16/1990,205.2,20
Hawaii,Moana Ukali,06/16/1990,204.8,18.9
Hawaii,Moana Ukali,06/16/1990,205.4,18.8
Hawaii,Moana Ukali,06/16/1990,205,19.9
Hawaii,Moana Ukali,06/16/1990,204.8,20
Hawaii,Moana Ukali,06/16/1990,205.1,19.3
Hawaii,Moana Ukali,06/16/1990,204.7,18.9
Hawaii,Moana Ukali,06/16/1990,204.9,20
Hawaii,Moana Ukali,06/16/1990,204.9,20.4
Hawaii,Moana Ukali,06/16/1990,205,19.1
Hawaii,Moana Ukali,06/16/1990,204.8,19.3
Hawaii,Moana Ukali,06/16/1990,205.4,20.3
Hawaii,Moana Ukali,06/16/1990,205.2,19.4
Hawaii,Moana Ukali,06/16/1990,204.7,18.7
Hawaii,Moana Ukali,06/16/1990,204.9,20.3
Hawaii,Moana Ukali,06/16/1990,205.2,19.9
Hawaii,Moana Ukali,06/16/1990,205,19
Hawaii,Moana Ukali,06/16/1990,204.9,19
Hawaii,Moana Ukali,06/16/1990,205.2,20.5
Hawaii,Moana Ukali,06/16/1990,204.9,20.2
Hawaii,Moana Ukali,06/16/1990,205,18.9
Hawaii,Moana Ukali,06/16/1990,205.2,19.8
Hawaii,Moana Ukali,06/16/1990,204.9,19.1
Hawaii,Moana Ukali,06/16/1990,204.9,19.9
Hawaii,Moana Ukali,06/16/1990,204.7,20.1
Hawaii,Moana Ukali,06/16/1990,204.8,20.4
Hawaii,Moana Ukali,06/16/1990,204.8,20.1
Hawaii,Moana Ukali,06/16/1990,205,19.4
Hawaii,Moana Ukali,06/16/1990,205.3,20.4
Hawaii,Moana Ukali,06/16/1990,205.3,19.6
Hawaii,Moana Ukali,06/16/1990,205.2,19.6
Hawaii,Moana Ukali,06/16/1990,205.1,19.7
Hawaii,Moana Ukali,06/16/1990,205.2,19.5
Hawaii,Moana Ukali,06/16/1990,205.4,19.9
Hawaii,Moana Ukali,06/16/1990,205.3,19.7
Hawaii,Moana Ukali,06/16/1990,205,20.4
Hawaii,Moana Ukali,06/16/1990,205.1,20.4
Hawaii,Moana Ukali,06/16/1990,205.4,20.5
Hawaii,Moana Ukali,06/16/1990,205.4,19.2
Hawaii,Moana Ukali,06/16/1990,205.3,19.2
Hawaii,Moana Ukali,06/16/1990,205.4,19.7
Hawaii,Moana Ukali,06/16/1990,204.7,19
Hawaii,Moana Ukali,06/16/1990,205,19.7
Hawaii,Moana Ukali,06/16/1990,205.3,20.5
Hawaii,Moana Ukali,06/16/1990,204.7,20.5
Hawaii,Moana Ukali,06/16/1990,204.7,19.3
Hawaii,Moana Ukali,06/16/1990,205.4,19.1
Hawaii,Moana Ukali,06/16/1990,204.7,20
Hawaii,Moana Ukali,06/16/1990,205.2,19.7
Hawaii,Moana Ukali,06/16/1990,204.8,18.8
Hawaii,Moana Ukali,06/16/1990,205.2,20.4
Hawaii,Moana Ukali,06/16/1990,205.3,19.9
Hawaii,Moana Ukali,06/16/1990,205.1,20.5
Hawaii,Moana Ukali,06/16/1990,204.9,19.8
Hawaii,Moana Ukali,06/16/1990,205.1,19.6
Hawaii,Moana Ukali,06/16/1990,205.4,19.6
Hawaii,Moana Ukali,06/16/1990,205,19.6
Hawaii,Moana Ukali,06/16/1990,204.9,19.7
Hawaii,Moana Ukali,06/16/1990,205.4,20.4
Hawaii,Kagami ulua,04/01/1990,205.2,20.1
Hawaii,Kagami ulua,04/01/1990,204.7,18.8
Hawaii,Kagami ulua,04/01/1990,205.2,19.2
Hawaii,Kagami ulua,04/01/1990,205,19.3
Hawaii,Kagami ulua,04/01/1990,204.9,20.1
Hawaii,Kagami ulua,04/01/1990,205.3,18.7
Hawaii,Kagami ulua,04/01/1990,205.3,18.8
Hawaii,Kagami ulua,04/01/1990,205.4,19.4
Hawaii,Kagami ulua,04/01/1990,204.8,20.5
Hawaii,Kagami ulua,04/01/1990,205.4,20.2
Hawaii,Kagami ulua,04/01/1990,204.9,20.5
Hawaii,Kagami ulua,04/01/1990,204.9,19.3
Hawaii,Kagami ulua,04/01/1990,205.2,19
Hawaii,Kagami ulua,04/01/1990,205,20.1
Hawaii,Kagami ulua,04/01/1990,204.9,18.8
Hawaii,Kagami ulua,04/01/1990,205.4,19.5
Hawaii,Kagami ulua,04/01/1990,205.4,19.8
Hawaii,Kagami ulua,04/01/1990,205.1,19.9
Hawaii,Kagami ulua,04/01/1990,205.4,19.3
Hawaii,Kagami ulua,04/01/1990,205.1,19.1
Hawaii,Kagami ulua,04/01/1990,205.4,20.1
Hawaii,Kagami ulua,04/01/1990,205,19.2
Hawaii,Kagami ulua,04/01/1990,205.1,20.3
Hawaii,Kagami ulua,04/01/1990,205.2,20.2
Hawaii,Kagami ulua,04/01/1990,204.7,19.1
Hawaii,Kagami ulua,04/01/1990,205.1,19.2
Hawaii,Kagami ulua,04/01/1990,204.8,20.2
Hawaii,Kagami ulua,04/01/1990,205.3,19.3
Hawaii,Kagami ulua,04/01/1990,205.2,19.3
Hawaii,Kagami ulua,04/01/1990,205.2,19.1
Hawaii,Kagami ulua,04/01/1990,204.8,19.2
Hawaii,Kagami ulua,04/01/1990,205.2,20.3
Hawaii,Kagami ulua,04/01/1990,205.4,20
Hawaii,Kagami ulua,04/01/1990,205.4,18.7
Hawaii,Kagami ulua,04/01/1990,205.4,18.9
Hawaii,Kagami ulua,04/01/1990,204.9,19.2
Hawaii,Kagami ulua,04/01/1990,205.3,20.1
Hawaii,Kagami ulua,04/01/1990,205.3,19.4
Hawaii,Kagami ulua,04/01/1990,205.2,18.8
Hawaii,Kagami ulua,04/01/1990,205.3,20.2
Hawaii,Kagami ulua,04/01/1990,204.7,20.4
Hawaii,Kagami ulua,04/01/1990,205.3,19.1
Hawaii,Kagami ulua,04/01/1990,204.9,18.7
Hawaii,Kagami ulua,04/01/1990,205.3,19.5
Hawaii,Kagami ulua,04/01/1990,205,19.8
Hawaii,Kagami ulua,04/01/1990,205,20.3
Hawaii,Kagami ulua,04/01/1990,205.1,18.8
Hawaii,Kagami ulua,04/01/1990,205.3,20.3
Hawaii,Kagami ulua,04/01/1990,204.8,19.1
Hawaii,Kagami ulua,04/01/1990,205.1,19
Hawaii,Kagami ulua,04/01/1990,204.8,19
Hawaii,Kagami ulua,04/01/1990,204.8,20.3
Hawaii,Kagami ulua,04/01/1990,205.1,19.8
Hawaii,Kagami ulua,04/01/1990,205,18.8
Hawaii,Kagami ulua,04/01/1990,205.1,19.4
Hawaii,Kagami ulua,04/01/1990,205.2,18.7
Hawaii,Kagami ulua,04/01/1990,205.2,18.9
Hawaii,Kagami ulua,04/01/1990,205.1,18.9
Hawaii,Kagami ulua,04/01/1990,204.7,20.2
Hawaii,Kagami ulua,04/01/1990,204.7,20.3
Hawaii,Kagami ulua,04/01/1990,205.3,20
Hawaii,Kagami ulua,04/01/1990,205.3,19.8
Hawaii,Kagami ulua,04/01/1990,205.1,20.1
Hawaii,Kagami ulua,04/01/1990,205,20
Hawaii,Kagami ulua,04/01/1990,204.8,18.7
Hawaii,Kagami ulua,04/01/1990,205.1,20
Hawaii,Kagami ulua,04/01/1990,204.7,19.2
Hawaii,Kagami ulua,04/01/1990,205,20.5
Hawaii,Kagami ulua,04/01/1990,205,18.7
Hawaii,Kagami ulua,04/01/1990,205,20.2
Hawaii,Kagami ulua,04/01/1990,205.4,19
Hawaii,Kagami ulua,04/01/1990,205.1,18.7
Hawaii,Kagami ulua,04/01/1990,205.1,20.2
Hawaii,Kagami ulua,04/01/1990,205.3,19
Hawaii,Kagami ulua,04/01/1990,205.3,18.9
Hawaii,Kagami ulua,04/01/1990,204.9,18.9
Hawaii,Kagami ulua,04/01/1990,205.2,20
Hawaii,Kagami ulua,04/01/1990,204.8,18.9
Hawaii,Kagami ulua,04/01/1990,205.4,18.8
Hawaii,Kagami ulua,04/01/1990,205,19.9
Hawaii,Kagami ulua,04/01/1990,204.8,20
Hawaii,Kagami ulua,04/01/1990,205.1,19.3
Hawaii,Kagami ulua,04/01/1990,204.7,18.9
Hawaii,Kagami ulua,04/01/1990,204.9,20
Hawaii,Kagami ulua,04/01/1990,204.9,20.4
Hawaii,Kagami ulua,04/01/1990,205,19.1
Hawaii,Kagami ulua,04/01/1990,204.8,19.3
Hawaii,Kagami ulua,04/01/1990,205.4,20.3
Hawaii,Kagami ulua,04/01/1990,205.2,19.4
Hawaii,Kagami ulua,04/01/1990,204.7,18.7
Hawaii,Kagami ulua,04/01/1990,204.9,20.3
Hawaii,Kagami ulua,04/01/1990,205.2,19.9
Hawaii,Kagami ulua,04/01/1990,205,19
Hawaii,Kagami ulua,04/01/1990,204.9,19
Hawaii,Kagami ulua,04/01/1990,205.2,20.5
Hawaii,Kagami ulua,04/01/1990,204.9,20.2
Hawaii,Kagami ulua,04/01/1990,205,18.9
Hawaii,Kagami ulua,04/01/1990,205.2,19.8
